iter	MultiClass
0	2.070317402
1	1.898033608
2	1.773625732
3	1.659706295
4	1.563239197
5	1.485127389
6	1.405715996
7	1.341599623
8	1.286571473
9	1.235235662
10	1.187647797
11	1.138812149
12	1.098754277
13	1.059025386
14	1.023265729
15	0.9857807338
16	0.9542973408
17	0.9246067894
18	0.8975674999
19	0.871183665
20	0.8463262295
21	0.8238237471
22	0.8012596423
23	0.7819106918
24	0.7648296958
25	0.7480457707
26	0.7292495896
27	0.710846536
28	0.6940240005
29	0.6762350709
30	0.6605212791
31	0.6464276771
32	0.6338764334
33	0.6194696678
34	0.6073154779
35	0.5947150571
36	0.5828565945
37	0.5696567605
38	0.558518328
39	0.5479379267
40	0.5397566217
41	0.5301021897
42	0.5198351811
43	0.5106647679
44	0.5026832509
45	0.4956828172
46	0.4876908278
47	0.4791196282
48	0.471496798
49	0.4646129223
50	0.4578836338
51	0.4504804697
52	0.4431860326
53	0.4364968227
54	0.4301305933
55	0.4244460315
56	0.4184317933
57	0.4135296271
58	0.4078817747
59	0.4031688482
60	0.3975050462
61	0.3927743935
62	0.3884089512
63	0.3834935496
64	0.3794745367
65	0.3750360441
66	0.3702754622
67	0.3668125724
68	0.3625616249
69	0.3588911481
70	0.3552067444
71	0.3514113638
72	0.3475856563
73	0.3438725969
74	0.3404066177
75	0.3370973898
76	0.3338619426
77	0.3309937149
78	0.3281744082
79	0.3256384941
80	0.3228491674
81	0.3198551475
82	0.3177229536
83	0.3151565475
84	0.3133259702
85	0.3105386816
86	0.3079850325
87	0.305684914
88	0.3035064056
89	0.3016306749
90	0.2996362204
91	0.2976532434
92	0.2953973131
93	0.2933943101
94	0.2920132358
95	0.2901210797
96	0.2881498971
97	0.2863429294
98	0.2845570266
99	0.2828583675
100	0.2812703981
101	0.2798477802
102	0.2780851108
103	0.2767766233
104	0.2752866384
105	0.2740348786
106	0.2725525302
107	0.2709522169
108	0.2701482925
109	0.2691886948
110	0.2680567001
111	0.2672286442
112	0.265991165
113	0.2648547699
114	0.2637529293
115	0.2624721925
116	0.2615478018
117	0.2602605131
118	0.2593903312
119	0.2581770464
120	0.2576424667
121	0.2567032952
122	0.2555112861
123	0.2549565765
124	0.2544292611
125	0.2535500487
126	0.2523673177
127	0.2516650234
128	0.2512292917
129	0.2503863545
130	0.2495424725
131	0.2488001182
132	0.2483152985
133	0.2475581659
134	0.2468363207
135	0.2462238908
136	0.2458195429
137	0.2455724668
138	0.245253545
139	0.2444689614
140	0.2438194931
141	0.2431191773
142	0.2423962077
143	0.2421528197
144	0.2416696709
145	0.2411613104
