iter	Passed	Remaining
0	39	23959
1	72	21690
2	102	20386
3	133	19953
4	165	19696
5	194	19216
6	226	19200
7	256	19013
8	287	18892
9	315	18624
10	348	18646
11	377	18511
12	406	18365
13	434	18194
14	465	18140
15	499	18241
16	531	18217
17	561	18152
18	588	18001
19	617	17921
20	650	17929
21	677	17801
22	703	17639
23	727	17467
24	762	17526
25	798	17629
26	826	17535
27	855	17482
28	883	17403
29	915	17390
30	945	17356
31	973	17273
32	1001	17199
33	1031	17169
34	1056	17059
35	1088	17047
36	1119	17035
37	1151	17033
38	1183	17019
39	1213	16982
40	1237	16877
41	1268	16846
42	1299	16838
43	1333	16846
44	1360	16785
45	1384	16678
46	1417	16672
47	1448	16655
48	1480	16643
49	1510	16614
50	1541	16595
51	1574	16596
52	1609	16608
53	1638	16567
54	1669	16542
55	1698	16497
56	1725	16442
57	1753	16385
58	1783	16353
59	1813	16321
60	1847	16322
61	1876	16279
62	1901	16209
63	1931	16175
64	1958	16117
65	1985	16062
66	2018	16055
67	2044	15995
68	2072	15952
69	2099	15895
70	2128	15859
71	2158	15828
72	2186	15787
73	2215	15751
74	2243	15705
75	2272	15665
76	2302	15637
77	2338	15647
78	2368	15620
79	2399	15597
80	2429	15569
81	2462	15554
82	2485	15482
83	2513	15437
84	2538	15383
85	2571	15368
86	2607	15374
87	2638	15349
88	2666	15311
89	2695	15274
90	2726	15251
91	2755	15214
92	2787	15194
93	2816	15160
94	2843	15113
95	2872	15078
96	2905	15068
97	2935	15035
98	2960	14983
99	2990	14954
100	3020	14923
101	3054	14913
102	3107	14992
103	3151	15029
104	3192	15051
105	3235	15078
106	3274	15085
107	3324	15145
108	3358	15128
109	3397	15132
110	3431	15118
111	3468	15111
112	3502	15094
113	3537	15082
114	3568	15047
115	3600	15022
116	3631	14992
117	3672	14999
118	3700	14957
119	3732	14928
120	3759	14883
121	3787	14839
122	3817	14806
123	3844	14758
124	3870	14707
125	3902	14681
126	3935	14656
127	3971	14644
128	3999	14602
129	4024	14551
130	4051	14505
131	4082	14473
132	4110	14432
133	4140	14399
134	4168	14357
135	4194	14310
136	4222	14271
137	4243	14208
138	4269	14161
139	4298	14124
140	4325	14080
141	4356	14049
142	4384	14012
143	4410	13967
144	4439	13932
145	4467	13891
146	4497	13858
147	4523	13814
148	4551	13776
149	4578	13734
150	4606	13696
151	4633	13657
152	4661	13617
153	4687	13575
154	4716	13540
155	4747	13511
156	4773	13469
157	4801	13430
158	4828	13391
159	4856	13355
160	4887	13327
161	4924	13315
162	4967	13318
163	5005	13307
164	5044	13300
165	5076	13271
166	5112	13256
167	5146	13235
168	5174	13197
169	5199	13152
170	5227	13114
171	5254	13075
172	5281	13035
173	5305	12989
174	5338	12963
175	5363	12921
176	5389	12879
177	5414	12837
178	5441	12797
179	5469	12761
180	5496	12723
181	5525	12691
182	5554	12657
183	5577	12610
184	5603	12569
185	5631	12533
186	5660	12500
187	5689	12469
188	5715	12428
189	5741	12389
190	5768	12352
191	5801	12327
192	5829	12292
193	5859	12262
194	5885	12223
195	5914	12190
196	5942	12157
197	5968	12117
198	5995	12081
199	6022	12045
200	6051	12013
201	6080	11980
202	6113	11955
203	6138	11915
204	6163	11876
205	6191	11842
206	6219	11807
207	6244	11767
208	6267	11724
209	6293	11687
210	6323	11658
211	6349	11620
212	6373	11579
213	6400	11545
214	6428	11511
215	6457	11479
216	6489	11453
217	6514	11414
218	6541	11380
219	6577	11360
220	6611	11338
221	6639	11305
222	6666	11270
223	6693	11234
224	6719	11198
225	6744	11160
226	6767	11120
227	6798	11092
228	6834	11071
229	6865	11044
230	6895	11014
231	6920	10976
232	6944	10938
233	6968	10899
234	6997	10868
235	7024	10834
236	7055	10806
237	7084	10775
238	7112	10742
239	7144	10716
240	7171	10682
241	7199	10649
242	7223	10612
243	7252	10582
244	7279	10548
